Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
12/28/1998,32.25,32.5,32.06,32.5,4957900,0,1,23.86737884,24.05239728,23.72676482,24.05239728,4957900
12/24/1998,31.88,32.94,31.75,32.25,2798700,0,1,23.59355155,24.37802973,23.49734196,23.86737884,2798700
12/23/1998,31.81,32.12,31.56,31.88,4874000,0,1,23.54174638,23.77116925,23.35672794,23.59355155,4874000
12/22/1998,31.81,32.06,31.56,31.81,5419800,0,1,23.54174638,23.72676482,23.35672794,23.54174638,5419800
12/21/1998,31.75,32.19,31.62,31.81,5886500,0,1,23.49734196,23.82297441,23.40113237,23.54174638,5886500
12/18/1998,31.94,31.94,31.5,31.75,5111600,0,1,23.63795597,23.63795597,23.31232352,23.49734196,5111600
12/17/1998,32.12,32.69,31.62,31.94,5301800,0,1,23.77116925,24.19301129,23.40113237,23.63795597,5301800
12/16/1998,33,33,31.88,32.12,6401100,0,1,24.42243416,24.42243416,23.59355155,23.77116925,6401100
12/15/1998,33.56,34.12,32.69,33.31,4951800,0,1,24.83687547,25.25131677,24.19301129,24.65185703,4951800
12/14/1998,33.12,34.44,33.06,33.56,5463800,0,1,24.51124301,25.48814038,24.46683859,24.83687547,5463800
12/11/1998,34.06,34.19,33,33.12,5135400,0,1,25.20691235,25.30312194,24.42243416,24.51124301,5135400
12/10/1998,34.56,34.62,34,34.06,4428600,0,1,25.57694923,25.62135365,25.16250792,25.20691235,4428600
12/9/1998,34.44,34.94,34,34.56,5614600,0,1,25.48814038,25.85817726,25.16250792,25.57694923,5614600
12/8/1998,34.75,34.75,34.06,34.44,6137200,0,1,25.71756324,25.71756324,25.20691235,25.48814038,6137200
12/7/1998,33.25,34.88,33.25,34.75,8053700,0,1,24.6074526,25.81377283,24.6074526,25.71756324,8053700
12/4/1998,32.25,33.38,32.25,32.94,9623900,0,1,23.86737884,24.70366219,23.86737884,24.37802973,9623900
12/3/1998,33.69,33.81,31.5,31.88,17352300,0,1,24.93308506,25.02189391,23.31232352,23.59355155,17352300
12/2/1998,34.88,34.88,32.5,33.69,36727200,0,1,25.81377283,25.81377283,24.05239728,24.93308506,36727200
12/1/1998,40.62,40.69,39.5,40.38,3711900,0,1,30.06179623,30.11360139,29.23291362,29.88417853,3711900
11/30/1998,41.25,41.25,40.06,40.62,3757300,0,1,30.5280427,30.5280427,29.64735492,30.06179623,3757300
11/27/1998,42,42,41.19,41.44,1660000,0,1,31.08309802,31.08309802,30.48363827,30.66865671,1660000
11/25/1998,42.25,42.81,41.06,42.75,2578600,0,1,31.26811646,31.68255777,30.38742868,31.63815334,2578600
11/24/1998,43.75,43.75,42.25,42.25,2975800,0,1,32.37822711,32.37822711,31.26811646,31.26811646,2975800
11/23/1998,43.56,44,43.19,43.81,3508300,0,1,32.23761309,32.56324555,31.9637858,32.42263153,3508300
11/20/1998,43.12,43.56,43.12,43.56,2974900,0,1,31.91198063,32.23761309,31.91198063,32.23761309,2974900
11/19/1998,42.81,43.19,42.56,43.12,2735200,0,1,31.68255777,31.9637858,31.49753933,31.91198063,2735200
11/18/1998,42.75,42.81,42.06,42.81,3023200,0,1,31.63815334,31.68255777,31.12750245,31.68255777,3023200
11/17/1998,42.75,42.94,42.19,42.75,3992000,0,1,31.63815334,31.77876736,31.22371204,31.63815334,3992000
11/16/1998,42.12,42.75,42.12,42.75,3570000,0,1,31.17190687,31.63815334,31.17190687,31.63815334,3570000
11/13/1998,41.44,42.38,41.31,42.12,2912900,0,1,30.66865671,31.36432605,30.57244712,31.17190687,2912900
11/12/1998,41.5,41.88,41,41.44,2596500,0,1,30.71306114,30.99428917,30.34302426,30.66865671,2596500
11/11/1998,41.31,41.88,41.31,41.5,3042800,0,1,30.57244712,30.99428917,30.57244712,30.71306114,3042800
11/10/1998,42.25,42.25,41.19,41.19,4064800,0.14,1,31.26811646,31.26811646,30.48363827,30.48363827,4064800
11/9/1998,41.88,42.75,41.31,42.56,3803100,0,1,30.88930005,31.53098321,30.46888694,31.39084551,3803100
11/6/1998,40.94,42.25,40.44,41.88,4334300,0,1,30.1959872,31.16219978,29.82720377,30.88930005,4334300
11/5/1998,40.94,41.25,39.31,40.94,5554700,0,1,30.1959872,30.42463292,28.99375322,30.1959872,5554700
11/4/1998,41.31,42.44,40.38,40.94,5144800,0,1,30.46888694,31.30233749,29.78294976,30.1959872,5144800
11/3/1998,41.31,41.81,40.12,41.31,5115500,0,1,30.46888694,30.83767037,29.59118237,30.46888694,5115500
11/2/1998,37.81,41.38,37.81,41.31,7983400,0,1,27.88740293,30.52051662,27.88740293,30.46888694,7983400
