"Symbol: $SRHC",,,,,
"Date Time","Open","High","Low","Close","Change"
2010-06-15,337.37,342.99,337.37,342.97,5.720000000000027
2010-06-16,342.58,344.47,341.44,344.02,1.0499999999999545
2010-06-17,344.13,344.62,341.17,344.38,0.36000000000001364
2010-06-18,344.29,344.5,342.08,343.23,-1.1499999999999773
2010-06-21,343.79,346.61,340.52,341.79,-1.4399999999999977
2010-06-22,341.92,344.93,338.47,338.76,-3.0300000000000296
2010-06-23,338.6,339.56,335.73,337.9,-0.8600000000000136
2010-06-24,337.79,337.83,334.61,335.2,-2.6999999999999886
2010-06-25,335.23,338.17,333.93,335.77,0.5699999999999932
2010-06-28,335.89,338.62,333.87,335.88,0.11000000000001364
2010-06-29,335.12,335.12,328.02,329.59,-6.2900000000000205
2010-06-30,329.16,331.19,326.39,326.88,-2.7099999999999795
2010-07-01,326.81,326.81,318.89,324.13,-2.75
2010-07-02,324.13,327.19,323.27,325.07,0.9399999999999977
2010-07-06,325.37,329.11,323.97,326.65,1.579999999999984
2010-07-07,326.65,333.3,325.39,333.09,6.439999999999998
2010-07-08,333.11,336.52,333.11,336.11,3.0200000000000387
2010-07-09,336.03,336.71,334.82,336.64,0.5299999999999727
2010-07-12,336.57,336.57,334.65,336.09,-0.5500000000000114
2010-07-13,336.18,340.3,336.18,338.29,2.2000000000000455
2010-07-14,338.07,339.06,335.55,338.47,0.18000000000000682
2010-07-15,338.5,340.13,336.15,339.67,1.1999999999999886
2010-07-16,339.57,339.71,331.97,332.17,-7.5
2010-07-19,332.26,335.06,332.26,333.71,1.5399999999999636
2010-07-20,332.89,332.98,328.22,332.94,-0.7699999999999818
2010-07-21,332.84,332.87,326.97,328.03,-4.910000000000025
2010-07-22,328.27,332.99,328.27,329.67,1.6400000000000432
2010-07-23,329.67,330.4,326.61,329.93,0.2599999999999909
2010-07-26,330.12,334.8,330.12,334.69,4.759999999999991
2010-07-27,334.72,335.79,333.31,334.76,0.06999999999999318
2010-07-28,334.67,335.33,329.62,330.19,-4.569999999999993
2010-07-29,330.74,334.15,328.38,330.12,-0.06999999999999318
2010-07-30,329.93,332.58,325.64,331,0.8799999999999955
2010-08-02,331.5,337.63,331.5,337.46,6.4599999999999795
2010-08-03,337.32,341.52,337.32,340.09,2.6299999999999955
2010-08-04,340.07,343.65,339.65,343.12,3.0300000000000296
2010-08-05,343.06,343.17,340.76,342.84,-0.28000000000002956
2010-08-06,342.84,344.3,339.1,344.14,1.3000000000000114
2010-08-09,344.34,345.4,343.21,345.01,0.8700000000000045
2010-08-10,344.91,347.26,341.27,345.82,0.8100000000000023
2010-08-11,344.96,344.96,336.38,336.69,-9.129999999999995
2010-08-12,336.56,338.95,334.49,338.03,1.339999999999975
2010-08-13,338.03,338.12,335.55,336.63,-1.3999999999999773
2010-08-16,336.21,336.21,332.71,335.31,-1.3199999999999932
2010-08-17,335.31,340.95,335.31,339.61,4.300000000000011
2010-08-18,339.45,341.69,337.18,339.16,-0.44999999999998863
2010-08-19,339.01,339.01,331.95,333.51,-5.650000000000034
2010-08-20,333.47,333.47,329.9,332.11,-1.3999999999999773
2010-08-23,332.28,336.46,332.28,333.25,1.1399999999999864
2010-08-24,332.89,332.89,325.3,326.5,-6.75
2010-08-25,326.33,330.82,324.38,329.6,3.1000000000000227
2010-08-26,329.61,330.43,326.24,326.93,-2.670000000000016
2010-08-27,327.09,330.33,323.97,330.08,3.1499999999999773
2010-08-30,330.05,330.75,326.32,326.42,-3.659999999999968
2010-08-31,326.13,327.43,324.3,325.08,-1.3400000000000318
2010-09-01,325.34,332.97,325.34,332.46,7.3799999999999955
2010-09-02,332.42,334.6,332.11,334.31,1.8500000000000227
2010-09-03,334.38,337.44,334.38,337.36,3.0500000000000114
2010-09-07,337.32,337.32,334.7,335.37,-1.990000000000009
2010-09-08,335.4,338.07,335.08,336.98,1.6100000000000136
2010-09-09,337.15,341.67,337.15,340.88,3.8999999999999773
2010-09-10,340.92,344.5,340.92,344.08,3.1999999999999886
2010-09-13,344.15,345.91,342.97,344.3,0.22000000000002728
2010-09-14,344.08,347.15,343.19,345.57,1.2699999999999818
2010-09-15,345.39,349.02,344.53,348.48,2.910000000000025
2010-09-16,348.47,348.47,346.11,347.44,-1.0400000000000205
2010-09-17,347.62,349.81,346.85,347.54,0.10000000000002274
2010-09-20,347.59,352.86,347.59,352.24,4.699999999999989
2010-09-21,352.13,354.31,351.21,352.55,0.3100000000000023
2010-09-22,352.55,354.42,351.59,352.93,0.37999999999999545
2010-09-23,352.8,353.52,350.49,351.08,-1.8500000000000227
2010-09-24,351.52,355.96,351.52,355.89,4.810000000000002
2010-09-27,355.89,355.89,353.08,353.12,-2.769999999999982
2010-09-28,353.2,356.72,351.83,356.15,3.0299999999999727
2010-09-29,356.15,356.15,353.36,354.93,-1.2199999999999704
2010-09-30,354.94,358,352.58,353.75,-1.1800000000000068
2010-10-01,354.1,355.35,352.02,353.93,0.18000000000000682
2010-10-04,353.82,354.3,349.44,350.55,-3.3799999999999955
2010-10-05,350.65,357.3,350.65,356.92,6.3700000000000045
2010-10-06,356.78,357.06,354.27,355.61,-1.3100000000000023
2010-10-07,355.72,357.62,355.06,355.89,0.2799999999999727
2010-10-08,355.89,357.75,355.37,356.94,1.0500000000000114
2010-10-11,356.86,357.63,355.93,357.13,0.18999999999999773
2010-10-12,357,358.86,354.94,358,0.8700000000000045
2010-10-13,358.01,361.44,358.01,360.38,2.3799999999999955
2010-10-14,360.37,361.37,358.06,359.84,-0.5400000000000205
2010-10-15,360.23,362.25,359,361.2,1.3600000000000136
2010-10-18,361.14,364.49,361.08,364.29,3.090000000000032
2010-10-19,364.11,364.11,355.97,357.92,-6.3700000000000045
2010-10-20,358.04,362.57,357.43,360.82,2.8999999999999773
2010-10-21,360.82,363.59,359.25,362.02,1.1999999999999886
2010-10-22,362.05,362.51,361.15,362.26,0.2400000000000091
2010-10-25,362.44,366.59,362.44,363.96,1.6999999999999886
2010-10-26,363.52,363.52,361.2,362.85,-1.1099999999999568
2010-10-27,362.75,362.75,358.59,361.02,-1.830000000000041
2010-10-28,361.36,363.9,360.88,362.71,1.6899999999999977
2010-10-29,362.6,362.6,359.94,361,-1.7099999999999795
2010-11-01,360.92,364.94,359.41,361.63,0.6299999999999955
2010-11-02,361.81,364.94,361.81,364.43,2.8000000000000114
2010-11-03,364.4,365.51,361.46,364.82,0.38999999999998636
2010-11-04,364.84,367.23,364.84,366.26,1.4399999999999977
2010-11-05,366.24,366.51,362.59,364.31,-1.9499999999999886
2010-11-08,364.31,364.31,362.12,363.22,-1.089999999999975
2010-11-09,363.21,363.66,360.68,361.55,-1.670000000000016
2010-11-10,361.55,361.55,357.72,361.5,-0.05000000000001137
2010-11-11,361.46,362.18,358.63,362.14,0.6399999999999864
2010-11-12,361.65,361.65,357.27,358,-4.139999999999986
2010-11-15,358.19,359.69,357.25,357.32,-0.6800000000000068
2010-11-16,357,357,351.55,352.72,-4.599999999999966
2010-11-17,352.66,354.38,352.44,353.16,0.4399999999999977
2010-11-18,353.47,358.83,353.47,357.91,4.75
2010-11-19,358.02,358.5,356.39,358.3,0.38999999999998636
2010-11-22,358.23,358.82,355.16,358.28,-0.020000000000038654
2010-11-23,358.1,358.1,353.24,353.5,-4.779999999999973
2010-11-24,353.93,356.87,353.93,356.39,2.8899999999999864
2010-11-26,355.95,355.95,352.64,353.66,-2.7299999999999613
2010-11-29,353.29,353.29,348.12,352.47,-1.1899999999999977
2010-11-30,352.47,352.47,348.63,349.62,-2.8500000000000227
2010-12-01,349.75,356.64,349.75,356.21,6.589999999999975
2010-12-02,356.12,358.72,356.03,358.62,2.410000000000025
2010-12-03,358.51,359,357.19,358.94,0.3199999999999932
2010-12-06,358.94,358.94,356.51,356.51,-2.430000000000007
2010-12-07,356.75,359.05,356.39,356.49,-0.01999999999998181
